Fecha;Cierre
4/12/2022;13371.57
4/11/2022;13411.96
4/08/2022;13711
4/07/2022;13897.3
4/06/2022;13888.82
4/05/2022;14204.17
4/04/2022;14532.55
4/01/2022;14261.5
03/31/2022;14220.52
03/30/2022;14442.27
03/29/2022;14619.64
03/28/2022;14354.9
03/25/2022;14169.3
03/24/2022;14191.84
03/23/2022;13922.6
03/22/2022;14108.82
03/21/2022;13838.46
03/18/2022;13893.84
03/17/2022;13614.78
03/16/2022;13436.55
03/15/2022;12948.62
03/14/2022;12581.22
3/11/2022;12843.81
3/10/2022;13129.96
3/09/2022;13255.55
3/08/2022;12795.55
3/07/2022;12830.96
3/04/2022;13313.44
3/03/2022;13537.94
3/02/2022;13752.02
3/01/2022;13532.46
02/28/2022;13751.4
02/25/2022;13694.62
02/24/2022;13473.58
02/23/2022;13037.49
02/22/2022;13381.52
02/18/2022;13548.07
02/17/2022;13716.72
02/16/2022;14124.09
02/15/2022;14139.76
02/14/2022;13790.92
2/11/2022;13791.15
2/10/2022;14185.64
2/09/2022;14490.37
2/08/2022;14194.45
2/07/2022;14015.67
2/04/2022;14098.01
2/03/2022;13878.82
2/02/2022;14417.55
2/01/2022;14346
01/31/2022;14239.88
01/28/2022;13770.57
01/27/2022;13352.78
01/26/2022;13542.12
01/25/2022;13539.29
01/24/2022;13855.13
01/21/2022;13768.92
01/20/2022;14154.02
01/19/2022;14340.26
01/18/2022;14506.9
01/14/2022;14893.75
01/13/2022;14806.81
1/12/2022;15188.39
1/11/2022;15153.45
1/10/2022;14942.83
1/07/2022;14935.9
1/06/2022;15080.86
1/05/2022;15100.17
1/04/2022;15622.72
1/03/2022;15832.8
12/31/2021;15644.97
12/30/2021;15741.56
12/29/2021;15766.22
12/28/2021;15781.72
12/27/2021;15871.26
12/23/2021;15653.37
12/22/2021;15521.89
12/21/2021;15341.09
12/20/2021;14980.94
12/17/2021;15169.68
12/16/2021;15180.43
12/15/2021;15565.58
12/14/2021;15237.64
12/13/2021;15413.28
12/10/2021;15630.6
12/09/2021;15517.37
12/08/2021;15786.99
12/07/2021;15686.92
12/06/2021;15225.15
12/03/2021;15085.47
12/02/2021;15381.32
12/01/2021;15254.05
11/30/2021;15537.69
11/29/2021;15782.83
11/26/2021;15491.66
11/24/2021;15845.23
11/23/2021;15775.14
11/22/2021;15854.76
11/19/2021;16057.44
11/18/2021;15993.71
11/17/2021;15921.57
11/16/2021;15973.86
11/15/2021;15853.85
11/12/2021;15860.96
11/11/2021;15704.28
11/10/2021;15622.71
11/09/2021;15886.54
11/08/2021;15982.36
11/05/2021;15971.59
11/04/2021;15940.31
11/03/2021;15811.58
11/02/2021;15649.6
11/01/2021;15595.92
10/29/2021;15498.39
10/28/2021;15448.12
10/27/2021;15235.84
10/26/2021;15235.71
10/25/2021;15226.71
10/22/2021;15090.2
10/21/2021;15215.7
10/20/2021;15121.68
10/19/2021;15129.09
10/18/2021;15021.81
10/15/2021;14897.34
10/14/2021;14823.43
10/13/2021;14571.64
10/12/2021;14465.92
10/11/2021;14486.2
10/08/2021;14579.54
10/07/2021;14654.02
10/06/2021;14501.91
10/05/2021;14433.83
10/04/2021;14255.48
10/01/2021;14566.7
09/30/2021;14448.58
09/29/2021;14512.44
09/28/2021;14546.68
09/27/2021;14969.97
09/24/2021;15047.7
09/23/2021;15052.24
09/22/2021;14896.85
09/21/2021;14746.4
09/20/2021;14713.9
09/17/2021;15043.97
09/16/2021;15181.92
09/15/2021;15161.53
09/14/2021;15037.76
09/13/2021;15105.58
9/10/2021;15115.49
9/09/2021;15248.25
9/08/2021;15286.64
9/07/2021;15374.33
9/03/2021;15363.52
9/02/2021;15331.18
9/01/2021;15309.38
08/31/2021;15259.24
08/30/2021;15265.89
08/27/2021;15129.5
08/26/2021;14945.81
08/25/2021;15041.86
08/24/2021;15019.8
08/23/2021;14942.65
08/20/2021;14714.66
08/19/2021;14541.79
08/18/2021;14525.91
08/17/2021;14656.18
08/16/2021;14793.76
08/13/2021;14822.9
8/12/2021;14816.26
8/11/2021;14765.14
8/10/2021;14788.09
8/09/2021;14860.18
8/06/2021;14835.76
8/05/2021;14895.12
8/04/2021;14780.53
8/03/2021;14761.29
8/02/2021;14681.07
07/30/2021;14672.68
07/29/2021;14778.26
07/28/2021;14762.58
07/27/2021;14660.58
07/26/2021;14840.71
07/23/2021;14836.99
07/22/2021;14684.6
07/21/2021;14631.95
07/20/2021;14498.88
07/19/2021;14274.98
07/16/2021;14427.24
07/15/2021;14543.13
07/14/2021;14644.95
07/13/2021;14677.65
7/12/2021;14733.24
7/09/2021;14701.92
7/08/2021;14559.78
7/07/2021;14665.06
7/06/2021;14663.64
7/02/2021;14639.33
7/01/2021;14522.38
06/30/2021;14503.95
06/29/2021;14528.33
06/28/2021;14500.51
06/25/2021;14360.39
06/24/2021;14369.71
06/23/2021;14271.73
06/22/2021;14253.27
06/21/2021;14141.48
06/18/2021;14030.38
06/17/2021;14161.35
06/16/2021;14039.68
06/15/2021;14072.86
06/14/2021;14174.14
6/11/2021;14069.42
6/10/2021;14020.33
